"","names","estimates","pvalues"
"1","Max - Mean","0.000167220000000095","0"
"2","Min - Mean","-0.000167134285714187","0"
"3","Lin - Mean","-4.07828571427587e-05","0"
"4","Ran - Mean","7.9142857152658e-07","0.999531594783564"
"5","UD - Mean","-2.58428571427594e-05","0"
"6","DU - Mean","7.56571428581219e-06","0.000824296106777256"
"7","Min - Max","-0.000334354285714282","0"
"8","Lin - Max","-0.000208002857142854","0"
"9","Ran - Max","-0.000166428571428569","0"
"10","UD - Max","-0.000193062857142855","0"
"11","DU - Max","-0.000159654285714283","0"
"12","Lin - Min","0.000126351428571428","0"
"13","Ran - Min","0.000167925714285713","0"
"14","UD - Min","0.000141291428571427","0"
"15","DU - Min","0.000174699999999999","0"
"16","Ran - Lin","4.15742857142853e-05","0"
"17","UD - Lin","1.49399999999993e-05","7.105427357601e-15"
"18","DU - Lin","4.83485714285709e-05","0"
"19","UD - Ran","-2.6634285714286e-05","0"
"20","DU - Ran","6.77428571428561e-06","0.00456721210157274"
"21","DU - UD","3.34085714285716e-05","0"
